Airline Name,Airline Country,Airline Code
21 Air,2I / CSB,2I
748 Air Services,FE / IHO,FE
9 Air,AQ / JYH,AQ
Aegean Airlines,A3 / AEE,A3
Aer Lingus,EI / EIN,EI
AerCaribe,JK / ACL,JK
Aero,5E / BLK,5E
Aero,N2 / NIG,N2
Aero Dili,8G / DTL,8G
Aero K,RF / EOK,RF
Aero Mongolia,M0 / MNG,M0
Aero Nomad,KA / ANK,KA
Aeroflot,SU / AFL,SU
Aeroitalia,XZ / AEZ,XZ
Aerolineas Argentinas,AR / ARG,AR
Aerolineas Sosa,S0 / NSO,S0
AeroLogic,3S / BOX,3S
Aeromexico,AM / AMX,AM
Aeromexico Connect,5D / SLI,5D
Aeroregional,6G / RER,6G
Aerostan,KW / BSC,KW
Aerosucre,A4 / KRE,A4
Aerotranscargo,F5 / ATG,F5
AeroUnion,6R / TNO,6R
Aerovias DAP,V5 / DAP,V5
Aerus,ZV / RFD,ZV
Africa World Airlines,AW / AFW,AW
African Express Airways,XU / AXK,XU
Afrijet,J7 / ABS,J7
Afriqiyah Airways,8U / AAW,8U
Air Albania,ZB / ABN,ZB
Air Algerie,AH / DAH,AH
Air Alsie,6I / MMD,6I
Air Anka,6K / TAH,6K
Air Arabia,G9 / ABY,G9
Air Astana,KC / KZR,KC
Air Astra,2A / AWA,2A
Air Austral,UU / REU,UU
Air Baltic,BT / BTI,BT
Air Belgium,KF / ABB,KF
Air Botswana,BP / BOT,BP
Air Burkina,2J / VBW,2J
Air Busan,BX / ABL,BX
Air Cairo,SM / MSC,SM
Air Canada,AC / ACA,AC
Air Canada Rouge,RV / ROU,RV
Air Caraibes,TX / FWI,TX
Air Cargo Carriers,2Q / SNC,2Q
Air Central,GI / LHA,GI
Air Century,Y2 / CEY,Y2
Air Changan,9H / CGN,9H
Air Chathams,3C / CVA,3C
Air China,CA / CCA,CA
Air Corsica,XK / CCM,XK
Air Cote d'Ivoire,HF / VRE,HF
Air Creebec,YN / CRQ,YN
Air Dilijans,RM / NGT,RM
Air Do,HD / ADO,HD
Air Dolomiti,EN / DLA,EN
Air Europa,UX / AEA,UX
Air Falcon,FS / FPK,FS
Air Flamenco,F4 / WAF,F4
Air France,AF / AFR,AF
Air Greenland,GL / GRL,GL
Air Guilin,GT / CGH,GT
Air Horizont,HT / HAT,HT
Air Incheon,KJ / AIH,KJ
Air India,AI / AIC,AI
Air India Express,IX / AXB,IX
Air Inuit,3H / AIE,3H
Air Japan,NQ / AJX,NQ
